City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sangar,8.0,RU,1547270775.0,49.0,63.92,127.47,-30.04,2.82
kindersley,20.0,CA,1547269200.0,85.0,51.47,-109.16,12.2,18.34
punta arenas,75.0,CL,1547269200.0,75.0,-53.16,-70.91,41.0,23.04
saint george,90.0,GR,1547266800.0,93.0,39.45,22.34,35.6,8.05
saint-philippe,1.0,CA,1547269200.0,59.0,45.36,-73.48,3.56,13.87
mahebourg,75.0,MU,1547269200.0,79.0,-20.41,57.7,84.2,12.75
luderitz,32.0,NA,1547270777.0,86.0,-26.65,15.16,59.33,2.71
hun,92.0,BE,1547268660.0,93.0,50.34,4.87,42.8,10.29
bredasdorp,12.0,ZA,1547270703.0,92.0,-34.53,20.04,64.91,14.9
poum,64.0,MK,1547270778.0,84.0,41.28,20.71,12.98,1.7
mataura,0.0,NZ,1547270778.0,44.0,-46.19,168.86,71.48,3.71
salalah,0.0,OM,1547268600.0,23.0,17.01,54.1,75.2,16.11
dikson,8.0,RU,1547270779.0,62.0,73.51,80.55,-21.22,19.48
albany,20.0,US,1547268840.0,66.0,42.65,-73.75,12.02,11.41
correntina,24.0,BR,1547270780.0,74.0,-13.34,-44.63,68.6,5.06
jalu,0.0,LY,1547270780.0,45.0,29.03,21.55,45.65,11.65
castro,90.0,CL,1547269200.0,100.0,-42.48,-73.76,53.6,2.24
vaini,0.0,IN,1547269200.0,34.0,15.34,74.49,80.6,4.7
esmeraldas,0.0,BR,1547269200.0,77.0,-19.76,-44.31,71.6,5.82
nome,90.0,US,1547270100.0,86.0,30.04,-94.42,60.08,9.17
kutulik,12.0,RU,1547270782.0,73.0,53.35,102.79,-0.43,9.42
ushuaia,75.0,AR,1547269200.0,52.0,-54.81,-68.31,44.6,6.93
cape town,64.0,ZA,1547269200.0,100.0,-33.93,18.42,55.4,2.24
tuktoyaktuk,90.0,CA,1547269200.0,75.0,69.44,-133.03,-16.61,10.29
mount gambier,0.0,AU,1547269200.0,40.0,-37.83,140.78,73.4,18.34
revyakino,68.0,RU,1547270783.0,79.0,54.37,37.66,5.96,10.65
airai,44.0,TL,1547270784.0,72.0,-8.93,125.41,82.01,2.37
uruzgan,12.0,AF,1547270784.0,79.0,32.93,66.63,19.55,2.71
bow island,1.0,CA,1547269200.0,59.0,49.87,-111.38,35.6,10.29
kapaa,75.0,US,1547268960.0,76.0,22.08,-159.32,73.94,3.36
clyde river,1.0,CA,1547269200.0,73.0,70.47,-68.59,-29.21,6.93
constitucion,0.0,MX,1547270786.0,79.0,23.99,-104.67,41.69,4.27
qaanaaq,8.0,GL,1547270756.0,100.0,77.48,-69.36,-20.41,9.64
alamogordo,20.0,US,1547270100.0,52.0,32.9,-105.96,44.6,13.87
upernavik,32.0,GL,1547270787.0,100.0,72.79,-56.15,-3.94,10.98
linxia,0.0,CN,1547270787.0,34.0,35.6,103.21,29.9,3.71
chokurdakh,0.0,RU,1547270787.0,0.0,70.62,147.9,-41.92,2.93
hobyo,32.0,SO,1547270787.0,73.0,5.35,48.53,79.04,20.49
bluff,24.0,AU,1547270788.0,40.0,-23.58,149.07,90.92,9.64
ajdabiya,0.0,LY,1547270788.0,79.0,30.75,20.22,45.29,13.56
busselton,0.0,AU,1547270717.0,74.0,-33.64,115.35,77.51,13.89
muramvya,24.0,BI,1547270789.0,68.0,-3.27,29.62,67.34,0.36
albox,0.0,ES,1547269200.0,65.0,37.39,-2.15,41.0,14.99
mehamn,88.0,NO,1547270789.0,90.0,71.03,27.85,30.8,15.35
luganville,8.0,VU,1547270790.0,99.0,-15.51,167.18,83.63,4.94
arraial do cabo,0.0,BR,1547270725.0,90.0,-22.97,-42.02,76.16,15.68
khasan,32.0,RU,1547270790.0,78.0,42.43,130.64,32.15,3.49
yellowknife,90.0,CA,1547269200.0,84.0,62.45,-114.38,6.8,4.7
camacha,75.0,PT,1547267400.0,51.0,33.08,-16.33,62.6,13.87
phan thiet,76.0,VN,1547270791.0,79.0,10.93,108.1,83.36,21.5
carnarvon,12.0,ZA,1547270791.0,79.0,-30.97,22.13,56.54,5.73
suhbaatar,0.0,MN,1547270792.0,64.0,50.23,106.21,9.74,4.5
tautira,90.0,PF,1547269200.0,83.0,-17.73,-149.15,77.0,6.93
mar del plata,64.0,AR,1547270743.0,46.0,-46.43,-67.52,61.22,15.01
makakilo city,1.0,US,1547269020.0,68.0,21.35,-158.09,77.0,4.7
grindavik,75.0,IS,1547269200.0,86.0,63.84,-22.43,35.6,16.11
ribeira grande,32.0,PT,1547270763.0,100.0,38.52,-28.7,60.59,19.48
parabel,20.0,RU,1547270793.0,46.0,58.71,81.5,-15.19,4.72
nabire,64.0,ID,1547270793.0,91.0,-3.36,135.5,75.71,1.92
khotyn,88.0,UA,1547269200.0,100.0,48.51,26.49,14.0,5.84
viedma,76.0,AR,1547270567.0,26.0,-40.81,-62.99,72.29,10.2
moville,1.0,US,1547270100.0,100.0,42.49,-96.07,30.2,4.7
husavik,56.0,CA,1547270795.0,70.0,50.56,-96.99,-1.69,3.38
tuatapere,0.0,NZ,1547270795.0,79.0,-46.13,167.69,60.14,8.41
hilo,90.0,US,1547269500.0,81.0,19.71,-155.08,71.96,4.7
chuy,92.0,UY,1547270797.0,94.0,-33.69,-53.46,66.17,8.63
hobart,0.0,AU,1547269200.0,37.0,-42.88,147.33,69.8,20.8
saldanha,0.0,PT,1547270753.0,82.0,41.42,-6.55,18.02,3.71
lavumisa,0.0,ZA,1547270798.0,51.0,-27.31,31.88,89.57,4.16
abha,0.0,SA,1547269200.0,82.0,18.22,42.5,57.2,8.05
genhe,68.0,CN,1547270798.0,74.0,50.78,121.52,10.01,4.16
hailar,24.0,CN,1547270791.0,67.0,49.2,119.7,12.98,4.5
lebu,0.0,ET,1547270802.0,26.0,8.96,38.73,52.58,3.94
thunder bay,90.0,CA,1547265600.0,78.0,48.41,-89.26,15.8,8.05
leningradskiy,0.0,RU,1547270803.0,92.0,69.38,178.42,-15.01,12.66
butaritari,80.0,KI,1547270753.0,100.0,3.07,172.79,83.99,12.21
rikitea,100.0,PF,1547270711.0,100.0,-23.12,-134.97,78.59,17.58
sioux lookout,90.0,CA,1547269200.0,85.0,50.1,-91.92,10.4,6.93
chingola,48.0,ZM,1547270804.0,95.0,-12.55,27.86,69.41,7.63
sitka,92.0,US,1547270744.0,97.0,37.17,-99.65,32.78,15.23
iqaluit,40.0,CA,1547269200.0,68.0,63.75,-68.52,-18.41,21.92
nanortalik,88.0,GL,1547270799.0,88.0,60.14,-45.24,31.43,36.26
dawei,44.0,MM,1547270805.0,55.0,14.07,98.19,87.77,0.47
san patricio,80.0,PY,1547270805.0,88.0,-26.98,-56.83,76.34,3.83
high level,40.0,CA,1547269200.0,92.0,58.52,-117.13,8.6,3.36
jamestown,0.0,AU,1547270705.0,37.0,-33.21,138.6,89.66,13.44
hithadhoo,24.0,MV,1547270720.0,100.0,-0.6,73.08,80.39,3.27
port elizabeth,1.0,US,1547268960.0,64.0,39.31,-74.98,26.96,7.4
mahon,75.0,IE,1547269200.0,93.0,51.89,-8.4,48.2,12.75
barrow,0.0,AR,1547270807.0,64.0,-38.31,-60.23,59.06,12.44
mayenne,90.0,FR,1547269200.0,93.0,48.3,-0.62,42.8,2.24
karratha,0.0,AU,1547270808.0,22.0,-20.74,116.85,107.03,9.64
beringovskiy,32.0,RU,1547270808.0,84.0,63.05,179.32,-5.38,24.07
fortuna,0.0,ES,1547269200.0,47.0,38.18,-1.13,37.4,5.82
tiksi,36.0,RU,1547270809.0,42.0,71.64,128.87,-27.07,7.18
lorengau,80.0,PG,1547270809.0,98.0,-2.02,147.27,83.99,12.33
codrington,0.0,AU,1547269200.0,38.0,-28.95,153.24,91.4,12.75
kavieng,48.0,PG,1547270803.0,100.0,-2.57,150.8,84.17,10.98
avarua,75.0,CK,1547269200.0,83.0,-21.21,-159.78,78.8,8.05
nikolskoye,75.0,RU,1547269200.0,79.0,59.7,30.79,32.0,13.42
mareeba,90.0,AU,1547269200.0,74.0,-16.99,145.42,82.4,8.05
manono,88.0,CD,1547270811.0,83.0,-7.3,27.4,77.24,4.61
liloan,75.0,PH,1547269200.0,74.0,9.42,123.31,84.2,6.93
palauig,8.0,PH,1547270811.0,64.0,15.44,119.9,85.34,3.49
bowmore,75.0,US,1547269200.0,90.0,34.94,-79.3,30.56,5.39
cidreira,92.0,BR,1547270812.0,97.0,-30.17,-50.22,71.75,9.19
cartagena,0.0,ES,1547269200.0,67.0,37.63,-1.0,32.0,3.36
pringsewu,64.0,ID,1547270813.0,83.0,-5.36,104.98,83.0,1.59
vostok,0.0,RU,1547270813.0,56.0,46.45,135.83,15.5,2.48
hinesville,90.0,US,1547270280.0,61.0,31.85,-81.6,48.2,5.82
novoagansk,12.0,RU,1547270814.0,40.0,61.94,76.66,-25.99,3.27
navahrudak,44.0,BY,1547270814.0,88.0,53.59,25.82,25.49,9.98
sanford,1.0,US,1547269500.0,83.0,35.48,-79.18,32.0,2.71
saiha,0.0,IN,1547270815.0,49.0,22.49,92.98,72.74,0.81
kruisfontein,0.0,ZA,1547270815.0,79.0,-34.0,24.73,66.44,16.69
victoria,75.0,BN,1547269200.0,74.0,5.28,115.24,89.6,4.7
baruun-urt,0.0,MN,1547270816.0,50.0,46.68,113.28,18.74,14.67
nanakuli,20.0,US,1547269020.0,82.0,21.39,-158.15,77.0,4.7
doha,1.0,QA,1547268960.0,69.0,25.29,51.53,60.8,11.41
kilindoni,92.0,TZ,1547270817.0,98.0,-7.91,39.67,83.9,15.01
bugiri,20.0,UG,1547270817.0,74.0,0.57,33.75,67.97,5.73
kodiak,90.0,US,1547269380.0,100.0,39.95,-94.76,33.08,9.17
hofn,0.0,IS,1547270706.0,95.0,64.25,-15.21,39.98,9.64
shingu,75.0,JP,1547269200.0,93.0,33.72,135.99,48.2,8.05
ponta do sol,76.0,BR,1547270742.0,91.0,-20.63,-46.0,65.0,4.27
yokadouma,44.0,CM,1547270819.0,88.0,3.52,15.05,68.69,2.15
komsomolskiy,68.0,RU,1547270796.0,81.0,67.55,63.78,-1.96,16.8
puerto leguizamo,44.0,CO,1547270819.0,96.0,-0.19,-74.78,73.1,1.7
maple creek,0.0,CA,1547270820.0,69.0,49.91,-109.46,13.34,6.29
kayerkan,32.0,RU,1547270820.0,0.0,69.35,87.76,-34.72,7.29
huilong,100.0,CN,1547270821.0,100.0,28.89,110.18,37.55,2.93
tasiilaq,92.0,GL,1547268600.0,73.0,65.61,-37.64,19.4,19.46
guerrero negro,0.0,MX,1547270821.0,100.0,27.97,-114.04,47.18,3.15
am timan,0.0,TD,1547270822.0,52.0,11.04,20.28,62.84,2.93
port augusta,0.0,AU,1547269200.0,51.0,-32.49,137.76,82.4,27.51
pauri,88.0,IN,1547270822.0,76.0,30.15,78.78,54.11,2.71
sinegorye,44.0,RU,1547270823.0,48.0,62.09,150.53,-18.43,2.71
talnakh,24.0,RU,1547270823.0,0.0,69.49,88.39,-37.24,4.61
sabang,92.0,PH,1547270823.0,100.0,13.72,123.58,75.26,12.88
khatanga,44.0,RU,1547270823.0,0.0,71.98,102.47,-32.38,10.65
curillo,36.0,CO,1547270672.0,86.0,1.03,-75.92,67.25,2.93
kaitangata,0.0,NZ,1547270713.0,70.0,-46.28,169.85,61.49,13.0
port moresby,40.0,PG,1547265600.0,62.0,-9.47,147.16,89.6,17.22
brae,92.0,GB,1547268600.0,81.0,60.4,-1.35,46.4,25.28
howard springs,20.0,AU,1547269200.0,59.0,-12.5,131.05,93.2,18.34
touros,40.0,BR,1547269200.0,83.0,-5.2,-35.46,77.0,4.7
jutai,92.0,BR,1547270825.0,100.0,-1.71,-47.89,72.74,2.48
egvekinot,32.0,RU,1547270826.0,0.0,66.32,-179.17,-41.92,3.49
vitre,90.0,FR,1547269200.0,93.0,48.12,-1.21,42.8,2.24
rio de jesus,0.0,PA,1547270826.0,72.0,7.98,-81.16,74.45,8.75
te anau,0.0,NZ,1547270745.0,29.0,-45.41,167.72,70.13,6.73
kuznechikha,88.0,RU,1547270827.0,73.0,63.45,41.73,21.08,13.0
ta khmau,40.0,KH,1547269200.0,62.0,11.48,104.95,87.8,4.7
bethel,1.0,US,1547268960.0,76.0,60.79,-161.76,-23.08,20.8
ambilobe,64.0,MG,1547270723.0,99.0,-13.19,49.05,79.76,4.38
ahipara,56.0,NZ,1547270828.0,63.0,-35.17,173.16,74.36,8.41
pevek,0.0,RU,1547270828.0,52.0,69.7,170.27,-17.62,4.5
kokhma,92.0,RU,1547270829.0,81.0,56.93,41.09,9.56,12.55
dunedin,0.0,NZ,1547270766.0,76.0,-45.87,170.5,58.97,10.54
kaeo,12.0,NZ,1547270830.0,43.0,-35.1,173.78,77.78,7.4
arlit,0.0,NE,1547270830.0,63.0,18.74,7.39,48.98,5.84
charters towers,68.0,AU,1547270830.0,68.0,-20.07,146.27,83.09,9.42
turan,68.0,RU,1547270831.0,62.0,52.15,93.92,-6.01,2.48
cayenne,75.0,GF,1547269200.0,94.0,4.94,-52.33,73.4,2.24
aloleng,12.0,PH,1547270831.0,83.0,16.13,119.78,84.53,1.81
daru,0.0,SL,1547270832.0,93.0,7.99,-10.85,70.85,2.26
avera,1.0,US,1547268900.0,56.0,33.19,-82.53,42.8,8.05
westerland,90.0,NL,1547268900.0,93.0,52.89,4.93,46.4,16.11
muli,8.0,IN,1547270833.0,60.0,22.62,71.45,74.09,4.38
baghdad,0.0,IQ,1547269200.0,86.0,33.3,44.38,33.8,3.36
iskateley,76.0,RU,1547270833.0,80.0,67.68,53.15,15.05,19.6
hermanus,0.0,ZA,1547270834.0,92.0,-34.42,19.24,56.9,4.27
severo-kurilsk,64.0,RU,1547270801.0,97.0,50.68,156.12,32.87,19.71
pangnirtung,56.0,CA,1547270834.0,51.0,66.15,-65.72,-17.62,4.94
geraldton,5.0,CA,1547269200.0,75.0,49.72,-86.95,-14.81,3.15
sungaipenuh,92.0,ID,1547270835.0,96.0,-2.08,101.38,70.58,1.36
hay river,90.0,CA,1547269200.0,84.0,60.82,-115.79,6.8,6.93
caravelas,80.0,BR,1547270836.0,100.0,-17.73,-39.27,80.39,9.53
saint-francois,90.0,FR,1547269200.0,100.0,46.42,3.91,33.8,6.17
la primavera,0.0,AR,1547269200.0,56.0,-32.92,-68.67,69.8,9.17
mount isa,40.0,AU,1547269200.0,26.0,-20.73,139.49,102.2,8.05
isangel,12.0,VU,1547270734.0,100.0,-19.55,169.27,80.12,6.29
portland,75.0,US,1547268780.0,60.0,45.52,-122.67,46.04,18.34
tacuarembo,92.0,UY,1547270837.0,91.0,-31.73,-55.98,66.35,8.63
deputatskiy,0.0,RU,1547270838.0,0.0,69.3,139.9,-40.84,2.71
lompoc,90.0,US,1547270100.0,93.0,34.64,-120.46,57.92,12.75
berlevag,88.0,NO,1547270838.0,100.0,70.86,29.09,31.88,15.68
cadereyta,90.0,MX,1547268540.0,88.0,25.58,-99.98,62.6,6.93
reconquista,92.0,AR,1547270839.0,99.0,-29.14,-59.64,69.68,7.85
atuona,76.0,PF,1547270839.0,100.0,-9.8,-139.03,81.02,16.69
hasaki,75.0,JP,1547269200.0,75.0,35.73,140.83,44.6,3.36
dingle,12.0,PH,1547270840.0,64.0,11.0,122.67,84.53,12.33
miri,8.0,NG,1547270840.0,56.0,10.31,9.75,54.38,4.16
constantine,75.0,DZ,1547269200.0,92.0,36.36,6.61,30.2,2.59
morondava,56.0,MG,1547270841.0,100.0,-20.3,44.28,80.66,5.61
motygino,56.0,RU,1547270842.0,65.0,58.18,94.69,-0.52,3.27
bubaque,68.0,GW,1547270842.0,100.0,11.28,-15.83,77.24,4.72
atambua,32.0,ID,1547270842.0,91.0,-9.11,124.89,84.53,8.3
clarence town,0.0,AU,1547269200.0,43.0,-32.59,151.78,91.4,11.41
asyut,0.0,EG,1547265600.0,66.0,27.18,31.19,48.2,2.37
ketchikan,90.0,US,1547268960.0,100.0,55.34,-131.65,39.02,4.7
porto novo,20.0,BR,1547269200.0,100.0,-23.68,-45.44,66.2,4.7
emerald,0.0,AU,1547269200.0,28.0,-23.53,148.16,95.0,11.41
itatskiy,64.0,RU,1547270844.0,79.0,56.07,89.04,6.23,13.22
birmitrapur,0.0,IN,1547270845.0,72.0,22.4,84.77,73.46,4.38
mitsamiouli,75.0,KM,1547269200.0,70.0,-11.38,43.28,86.0,5.82
timaru,88.0,NZ,1547270845.0,100.0,-44.39,171.25,57.62,6.51
puerto ayora,56.0,EC,1547270846.0,100.0,-0.74,-90.35,75.44,6.62
jodhpur,0.0,IN,1547270846.0,47.0,26.3,73.04,70.13,8.86
xichang,0.0,CN,1547270846.0,16.0,27.88,102.25,61.13,2.82
torbay,75.0,CA,1547269800.0,100.0,47.66,-52.73,32.0,17.22
beruwala,64.0,LK,1547270847.0,97.0,6.48,79.98,81.2,14.67
kokstad,0.0,ZA,1547270847.0,55.0,-30.55,29.42,67.79,2.71
kaihua,12.0,CN,1547270848.0,76.0,29.14,118.41,51.05,3.27
srednekolymsk,48.0,RU,1547270848.0,48.0,67.46,153.71,-29.41,2.59
zaysan,68.0,KZ,1547270848.0,89.0,47.47,84.87,20.54,2.48
moose factory,90.0,CA,1547269200.0,76.0,51.26,-80.61,-11.21,9.17
gat,0.0,SN,1547269200.0,82.0,14.69,-16.54,64.4,14.99
port alfred,0.0,ZA,1547270755.0,76.0,-33.59,26.89,69.23,17.02
coquimbo,0.0,CL,1547269200.0,87.0,-29.95,-71.34,59.0,4.5
horta,0.0,ES,1547269200.0,80.0,41.43,2.16,35.6,3.36
nekrasovka,0.0,RU,1547269200.0,51.0,48.35,135.23,14.0,6.71
marsh harbour,88.0,BS,1547270851.0,100.0,26.54,-77.06,71.21,13.89
tecolotlan,0.0,MX,1547270851.0,94.0,20.22,-104.05,49.52,0.36
new norfolk,0.0,AU,1547269200.0,37.0,-42.78,147.06,69.8,20.8
katangli,0.0,RU,1547270852.0,99.0,51.71,143.23,11.0,16.58
port macquarie,20.0,AU,1547269200.0,45.0,-31.43,152.91,87.8,14.99
nurota,90.0,UZ,1547269200.0,100.0,40.56,65.69,33.8,4.83
suileng,0.0,CN,1547270853.0,54.0,47.25,127.08,26.03,10.2
alofi,0.0,NU,1547269200.0,74.0,-19.06,-169.92,80.6,16.11
bridlington,68.0,GB,1547268600.0,87.0,54.08,-0.19,48.2,10.29
eskisehir,75.0,TR,1547268600.0,93.0,39.78,30.52,35.6,5.82
nouadhibou,0.0,MR,1547269200.0,58.0,20.93,-17.03,55.4,9.17
port hardy,90.0,CA,1547265600.0,81.0,50.7,-127.42,48.2,9.17
bay roberts,75.0,CA,1547269800.0,89.0,47.58,-53.28,32.0,17.22
port alberni,75.0,CA,1547269200.0,100.0,49.24,-124.81,39.2,1.7
tres rios,1.0,US,1547269020.0,48.0,34.56,-111.85,42.8,18.34
benghazi,64.0,LY,1547270856.0,100.0,32.12,20.07,61.13,12.33
mount abu,8.0,IN,1547270857.0,51.0,24.59,72.71,72.74,1.92
koslan,80.0,RU,1547270857.0,64.0,63.46,48.9,16.49,10.09
rucheng,80.0,CN,1547270857.0,93.0,25.55,113.68,54.38,1.14
namibe,24.0,AO,1547270858.0,100.0,-15.19,12.15,73.37,1.81
santa rosa,0.0,AR,1547270859.0,68.0,-36.62,-64.29,65.09,14.45
urucara,36.0,BR,1547270860.0,99.0,-2.54,-57.76,71.03,2.93
corrales,80.0,CO,1547270663.0,92.0,5.83,-72.84,47.99,0.36
acapulco,20.0,MX,1547268120.0,78.0,16.86,-99.88,78.8,2.24
flinders,0.0,AU,1547270861.0,37.0,-34.58,150.85,90.65,0.58
san andres,76.0,PH,1547270861.0,100.0,13.32,122.68,79.58,18.7
georgetown,75.0,GY,1547269200.0,94.0,6.8,-58.16,73.4,4.7
mbandaka,56.0,CD,1547270863.0,100.0,0.05,18.26,72.74,2.59
hvide sande,92.0,DK,1547268600.0,93.0,56.01,8.13,42.8,14.99
mariental,92.0,DE,1547270863.0,97.0,52.28,10.99,39.35,13.11
provideniya,24.0,RU,1547270717.0,100.0,64.42,-173.23,-6.91,21.5
saskylakh,24.0,RU,1547270864.0,0.0,71.97,114.09,-42.91,5.39
rocha,0.0,UY,1547270766.0,92.0,-34.48,-54.34,54.83,3.83
kyzyl-suu,80.0,KG,1547270865.0,100.0,42.34,78.0,21.71,4.61
belchatow,90.0,PL,1547269200.0,90.0,51.37,19.36,33.8,9.17
saravan,40.0,AM,1547269200.0,92.0,39.72,45.65,23.0,2.24
soyo,92.0,AO,1547270866.0,100.0,-6.13,12.37,72.92,3.27
cairns,90.0,AU,1547269200.0,74.0,-16.92,145.77,82.4,8.05
paveh,0.0,IR,1547269200.0,85.0,35.05,46.36,21.2,2.24
kondinskoye,68.0,RU,1547270867.0,86.0,59.65,67.41,2.72,8.63
north bend,20.0,US,1547268960.0,83.0,43.41,-124.22,48.92,5.82
avenal,1.0,US,1547268960.0,92.0,36.0,-120.13,53.06,3.36
kahului,1.0,US,1547268960.0,76.0,20.89,-156.47,75.02,3.36
bambous virieux,75.0,MU,1547269200.0,79.0,-20.34,57.76,84.2,12.75
ust-maya,36.0,RU,1547270869.0,39.0,60.42,134.54,-25.99,2.48
coruripe,76.0,BR,1547270869.0,98.0,-10.12,-36.18,79.31,7.18
binga,24.0,ZW,1547270870.0,96.0,-17.62,27.34,75.8,4.61
barabai,36.0,ID,1547270870.0,69.0,-2.59,115.38,88.22,2.93
thompson,75.0,CA,1547265600.0,76.0,55.74,-97.86,-4.01,3.36
vao,44.0,EE,1547270871.0,83.0,59.1,26.19,32.06,10.76
grand gaube,75.0,MU,1547269200.0,79.0,-20.01,57.66,84.2,12.75
fukue,75.0,JP,1547269200.0,52.0,35.03,136.69,46.4,11.41
pahrump,1.0,US,1547269080.0,55.0,36.21,-115.98,44.96,9.17
klerksdorp,0.0,ZA,1547270872.0,38.0,-26.86,26.67,73.28,4.61
aklavik,90.0,CA,1547269200.0,68.0,68.22,-135.01,-20.21,4.7
quepos,0.0,CR,1547269200.0,68.0,9.43,-84.16,68.0,13.87
aranos,0.0,NA,1547270873.0,30.0,-24.14,19.11,65.72,8.41
koani,80.0,TZ,1547270873.0,100.0,-6.13,39.28,82.01,17.36
depok,20.0,ID,1547269200.0,66.0,-6.41,106.81,89.6,9.17
muscat,40.0,OM,1547268600.0,60.0,23.6,58.55,73.4,9.17
rock springs,1.0,US,1547268840.0,87.0,41.59,-109.2,14.0,9.17
olinda,40.0,EC,1547269200.0,74.0,-2.03,-79.75,78.8,9.17
